"衝突類型","論文名稱","發表年份","教師","不一致內容","正確的","各筆明細"
"收錄分類不一致","Anticoronavirus Isoquinoline Alkaloids: Unraveling the Secrets of Their Structure-Activity Relationship","2025","黃聰龍、陳俞利","SCIE | SCI","SCIE","黃聰龍: SCIE || 陳俞利: SCI"
"收錄分類不一致","Association between intrinsic capacity and sarcopenia in older adults with type 2 diabetes: A cross-sectional study","2025","吳佳玲、林嘉玲","SCI, SSCI | SCIE","SCIE","吳佳玲: SCI, SSCI || 林嘉玲: SCIE"
"收錄分類不一致","Comparative Evaluation of Dental Clinical Surface Treatments for Polyetheretherketone with Airborne-Particle Abrasion, Hydrofluoric Acid Etching, and Handheld Nonthermal Plasma Activation on Long-Term Bond Performance","2025","李江文、林資展","SCIE | SCI","SCIE","李江文: SCIE || 林資展: SCI"
"收錄分類不一致","Constructing learning confidence through jigsaw, concept maps and group cooperative learning: A qualitative study","2025","韓晶彥、林春只","SCI, SCIE | SSCI","SCIE, SSCI","韓晶彥: SCI, SCIE || 林春只: SSCI"
"收錄分類不一致","Dual cell-penetrating peptide-conjugated polymeric nanocarriers for miRNA-205–5p delivery in gene therapy of cutaneous squamous cell carcinoma","2025","蕭千祐、李江文、林資展","SCI | SCIE","SCIE","蕭千祐: SCI || 李江文: SCIE || 林資展: SCI"
"收錄分類不一致","Effect of music listening on delirium after hip fracture operations (MLDHFO) in a regional hospital in Taiwan: a randomised controlled trial protocol","2025","林春只、辜漢章","SCI, SCIE | SCIE","SCIE","林春只: SCI, SCIE || 辜漢章: SCIE"
"收錄分類不一致","Effectiveness of a transition program in enhancing newly graduated nurses’ resilience, work stress, job satisfaction, and clinical performance in post-graduate year training programs: A quasi-experimental study","2025","范君瑜、劉英妹、簡淑慧","SCI, SSCI | SCIE, SSCI","SCIE, SSCI","范君瑜: SCI, SSCI || 劉英妹: SCI, SSCI || 簡淑慧: SCIE, SSCI"
"收錄分類不一致","Effectiveness of a virtual simulation and self-debriefing app on nursing students' pediatric pain knowledge: A randomized controlled trial","2025","范君瑜、劉英妹、曾資蓉","SCI, SSCI | SCIE, SSCI","SCIE, SSCI","范君瑜: SCI, SSCI || 劉英妹: SCIE, SSCI || 曾資蓉: SCI, SSCI"
"收錄分類不一致","Effectiveness of simulation-based interprofessional education for nursing students: A mixed-methods study","2025","張文、韓晶彥","SCI, SSCI | SCIE","SCIE, SSCI","張文: SCI, SSCI || 韓晶彥: SCIE"
"收錄分類不一致","Effects of empathy mapping and mini-simulation on second-year nursing students’ empathy and communication self-confidence: a quasi-experimental study","2025","余怡珍、黃湘萍、簡乃卉","SCIE, SSCI | SCI, SCIE, SSCI | SCI","SCIE, SSCI","余怡珍: SCIE, SSCI || 黃湘萍: SCI, SCIE, SSCI || 簡乃卉: SCI"
"收錄分類不一致","Exploring practical nursing skills acquisition through gamified computerized learning: A phenomenological study","2025","韓晶彥、林春只、辜漢章","SCIE | SCIE, SSCI","SCIE, SSCI","韓晶彥: SCIE || 林春只: SCIE, SSCI || 辜漢章: SCIE, SSCI"
"收錄分類不一致","Extraction of degraded proteins from red and green macroalgae using ultrasonic-assisted extraction and Fenton's reagent in combination","2025","李明怡、林竫怡、鍾成沛","SCI | SCIE","SCIE","李明怡: SCI || 林竫怡: SCIE || 鍾成沛: SCIE"
"收錄分類不一致","Factors influencing advance care planning behaviors among geriatric nurses: knowledge, attitudes, and self-efficacy","2025","于素英、黃湘萍、簡淑慧","SCI | SCI, SCIE, SSCI","SCIE, SSCI","于素英: SCI || 黃湘萍: SCI, SCIE, SSCI || 簡淑慧: SCI, SCIE, SSCI"
"收錄分類不一致","Feature-based molecular networking of two Arenga species extracts, appraisal of their anti-inflammatory, analgesic, and antidiarrheal activity","2025","張祐嘉、黃聰龍","SCI | SCIE","SCIE","張祐嘉: SCI || 黃聰龍: SCIE"
"收錄分類不一致","Impacts of surface characteristics on biological responses and biofilm formation of 3D-printed denture base resins: An in vitro study","2025","江耀璋、林資展","SCIE | SCI","SCIE","江耀璋: SCIE || 林資展: SCI"
"收錄分類不一致","Influencing Factors of Unmet Care Needs Among Taiwanese Non-Muscle Invasive Bladder Cancer during Acute Stage of Survivorship: A Preliminary Study","2025","黃湘萍、簡淑慧","SCI, SCIE, SSCI | SCIE, SSCI","SCIE, SSCI","黃湘萍: SCI, SCIE, SSCI || 簡淑慧: SCIE, SSCI"
"收錄分類不一致","Inspiratory muscle training and aerobic exercise for respiratory muscle strength in myasthenia gravis post-hospitalization- a randomized controlled trial","2025","方瑱珮、陳慧秦、劉瑞芳","SCIE | SCI","SCIE","方瑱珮: SCIE || 陳慧秦: SCI || 劉瑞芳: SCI"
"收錄分類不一致","IPSC-Derived Conditioned Medium Reduces Oxidative Stress and Vascular Remodeling in Rat Models of Pulmonary Arterial Hypertension","2025","李江文、許麗芬","SCIE | SCI","SCIE","李江文: SCIE || 許麗芬: SCI"
"收錄分類不一致","Molecular Mechanisms and Novel Therapeutics Targeting Ferroptosis in Gastric Cancer: A Literature Review","2025","蔡明明、謝喜龍","SCIE | SCI, SCIE","SCIE","蔡明明: SCIE || 謝喜龍: SCI, SCIE"
"收錄分類不一致","Mulberroside A ameliorates murine allergic airway inflammation by suppressing Th2 response and oxidative stress","2025","劉倩君、吳淑如、黃文忠、鄭淑臻","SCIE | SCI","SCIE","劉倩君: SCIE || 吳淑如: SCI || 黃文忠: SCIE || 鄭淑臻: SCIE"
"收錄分類不一致","Neochlorogenic acid ameliorates allergic airway inflammation by suppressing type 2 immunity and upregulating HO-1 expression","2025","劉倩君、林傳福、吳淑如、黃文忠、黃澤宏、鄭淑臻","SCIE | SCI | SCI, SCIE","SCIE","劉倩君: SCIE || 林傳福: SCIE || 吳淑如: SCI || 黃文忠: SCIE || 黃澤宏: SCIE || 鄭淑臻: SCI, SCIE"
"收錄分類不一致","Perspectives of healthcare professionals on harm prevention to hospitalized older people: A phenomenographic study","2025","陳麗琴、韓晶彥、林春只","SCI, SCIE | SCIE | SCIE, SSCI","SCIE, SSCI","陳麗琴: SCI, SCIE || 韓晶彥: SCIE || 林春只: SCIE, SSCI"
"收錄分類不一致","Poor glycemic status as a risk factor for dementia in type 2 diabetes population: Findings from the Taiwan's National Health Insurance Database","2025","巫菲翎、林嘉玲","SCIE | SCI","SCIE","巫菲翎: SCIE || 林嘉玲: SCI"
"收錄分類不一致","Prediction of Mortality From Symptom Cluster Patterns Among Patients Hospitalized With Decompensated Heart Failure: A Multi-Institutional Database Study","2025","黃翠媛、趙莉芬","SSCI | SCIE, SSCI","SCIE, SSCI","黃翠媛: SSCI || 趙莉芬: SCIE, SSCI"
"收錄分類不一致","Psychological distress and the needs of family members of critically ill patients in emergency departments during the COVID-19 pandemic: A cross-sectional study","2025","范君瑜、韓晶彥","SCI, SSCI | SCIE","SCIE, SSCI","范君瑜: SCI, SSCI || 韓晶彥: SCIE"
"收錄分類不一致","Systematic Review of Natural Briaranes in Marine Organisms (2020-2024): Chemical Structures and Bioactivities","2025","張祐嘉、黃聰龍","SCI | SCIE","SCIE","張祐嘉: SCI || 黃聰龍: SCIE"
"收錄分類不一致","The relationship between health literacy and medical decision conflict among parents of children newly diagnosed with central precocious puberty","2025","陳美燕、劉英妹","SCIE | SCIE, SSCI","SCIE, SSCI","陳美燕: SCIE || 劉英妹: SCIE, SSCI"
"收錄分類不一致","The role of PM2.5 exposure in lung cancer: mechanisms, genetic factors, and clinical implications","2025","王東弘、陳琦媛","SCI, SCIE | SCI","SCIE","王東弘: SCI, SCIE || 陳琦媛: SCI"
"收錄分類不一致","Unmet Care Needs of Colorectal Cancer Survivors in Taiwan and Related Predictors","2025","黃湘萍、劉英妹、簡淑慧","SCI, SCIE, SSCI | SCIE, SSCI","SCIE, SSCI","黃湘萍: SCI, SCIE, SSCI || 劉英妹: SCIE, SSCI || 簡淑慧: SCIE, SSCI"
"收錄分類不一致","讓世界走進來—以英語授課周產期傷慟關懷為例","2025","吳淑美、謝金杏","TSSCI | 其他","其他","吳淑美: TSSCI || 謝金杏: 其他"
