"主聘系所","作者順序","刊物名稱","專兼任","年度","所屬計畫案","教師姓名","是否具有審稿制度","期刊出版地國家/地區","期刊論文是否為跨國(地區)合作","狀態","發表卷數","發表型式","發表年份","發表月份","發表期數","系所代碼","論文名稱","論文收錄分類","識別號","通訊作者"
"保健營養系","第四(以上)作者","長庚科技學刊","專任","114","無","李明怡","否","中華民國","否","續聘","42","電子期刊","2025","6","42","3945","複頻超音波輔助不同溶劑萃取丹參莖葉產物其化學組成及抗氧化性質之反應曲面影響","其他","713870","否"
"保健營養系","第四(以上)作者","長庚科技學刊","專任","114","無","李明怡","是","中華民國","否","續聘","0","電子期刊","2025","6","","3945","破壁技術提升海藻於植物肉應用的營養與加工特性研究","其他","713871","是"
"保健營養系","第三作者","長庚科技學刊","專任","114","無","李明怡","是","中華民國","否","續聘","42","電子期刊","2025","6","42","3945","探討營養在COVID-19後疲勞與COVID-19後急性肌少症患者之角色","其他","713872","是"
"保健營養系","第四(以上)作者","International Journal of Food Science","專任","114","ZRRPF3P0081","林竫怡","是","英國","是(跨國合作)","續聘","2025","電子期刊","2025","9","4154633","3945","Comparisons of the Effects of Low-orHigh-Fat Diets Rich in Soy bean Oil, Lard,and Tea Seed Oil on Markers of Blood–Brain Barrier and Neuroinflammation in Ovariectomized Mice","其他","713923","是"
"保健營養系","第四(以上)作者","Autism Research","專任","114","無","林竫怡","是","美國","是(跨國合作)","續聘","18","電子期刊","2025","7","9","3945","Ameliorating Gastrointestinal Symptoms in Children With Autism Spectrum Disorder by Modulating the Gut Microbiota: A Systematic Review and Meta-Analysis","SSCI","713924","否"
"保健營養系","第一作者","長庚科技學刊","專任","114","無","林竫怡","是","中華民國","否","續聘","42","紙本","2025","6","42","3945","破壁技術提升海藻於植物肉應用的營養與加工特性研究","其他","713925","否"
"保健營養系","第四(以上)作者","長庚科技學刊","專任","114","無","林竫怡","是","中華民國","否","續聘","42","紙本","2025","6","42","3945","探討營養在COVID-19後疲勞與COVID-19後急性肌少症患者之角色","其他","713926","是"
"保健營養系","第一作者","長庚科技學刊","專任","114","ZRRPF3N0101、ZRRPF3P0081-2、 ZRRPF3N0091","林竫怡","是","中華民國","否","續聘","42","紙本及電子期刊","2025","6","42","3945","複頻超音波輔助不同溶劑萃取丹參莖葉產物其化學組成及抗氧化性質之反應曲面影響","其他","713927","否"
"保健營養系","第一作者","Current Research in Food Science","專任","114","ZRRPF3P0081-2","林竫怡","是","荷蘭王國","否","續聘","10","電子期刊","2025","5","101085","3945","Extraction of degraded proteins from red and green macroalgae using ultrasonic-assisted extraction and Fenton's reagent in combination","SCIE","713928","否"
"保健營養系","第二作者","Nanomedicine","專任","114","無","許青雲","是","英國","是(跨國合作)","續聘","20","電子期刊","2025","7","16","3945","Nanocarrier-enabled delivery of natural antiobesity agents","SCI","713755","否"
"保健營養系","第一作者","長庚科技學刊","專任","114","無","鄭兆君","是","中華民國","否","續聘","42","電子期刊","2025","7","42","3945","探討大專學生水果類攝取之知識、態度及行為相關研究","其他","713761","否"
"保健營養系","第一作者","Computers & Industrial Engineering","專任","114","無","鄭兆君","是","英國","否","續聘","207","電子期刊","2025","6","207","3945","Qualitative and quantitative analysis of the dietary approaches to stop hypertension diet for personalized hypertension management","SCIE","713762","是"
"保健營養系","第一作者","長庚科技學刊","專任","114","EZRPF3N0201, EZRPF3N0191, EZRPF3P0131, EZRPF3P0141, ZRRPF3P0091, ZRRPF3P0081","蕭千祐","是","中華民國","否","續聘","43","紙本及電子期刊","2025","12","43","3945","Skin pretreatment with a fractional Er:YAG laser promotes the transdermal delivery of vitamin C derivative","其他","713763","否"
"保健營養系","第三作者","Inflammation","專任","114","無","蕭千祐","是","美國","是(跨國合作)","續聘","48","電子期刊","2025","10","5","3945","Topical Anti‑Inflammatory Effects of Quercetin Glycosides on Atopic Dermatitis‑Like Lesions: Influence of the Glycone Type on Efficacy and Skin Absorption","SCI","713764","否"
"保健營養系","第四(以上)作者","長庚科技學刊","專任","114","CMRPF1M0191、EZRPF3P0131、EZRPF3P0141","蕭千祐","是","中華民國","否","續聘","42","紙本及電子期刊","2025","6","42","3945","Enhancing skin permeation of arbutin with fractional CO2 laser","其他","713765","是"
"保健營養系","第三作者","Acta Biomaterialia","專任","114","無","蕭千祐","是","英國","是(跨國合作)","續聘","196","電子期刊","2025","4","196","3945","Dual cell-penetrating peptide-conjugated polymeric nanocarriers for miRNA-205–5p delivery in gene therapy of cutaneous squamous cell carcinoma","SCIE","713766","否"
"保健營養系","第四(以上)作者","長庚科技學刊","專任","114","無","鍾成沛","是","中華民國","否","續聘","42","電子期刊","2025","6","0","3945","破壁技術提升海藻於植物肉應用的營養與加工特性研究","其他","713889","是"
"保健營養系","第四(以上)作者","長庚科技學刊","專任","114","106-2622-E-157-002-CC3、110-2813-C-255- 023-E、112-2320-B-255-004-、ZRRPF3N0101、ZRRPF3P0081-2、ZRRPF3N0091","鍾成沛","是","中華民國","否","續聘","42","電子期刊","2025","6","0","3945","複頻超音波輔助不同溶劑萃取丹參莖葉產物其化學組成及抗氧化性質之反應曲面影響","其他","713890","是"
"保健營養系","第二作者","長庚科技學刊","專任","114","無","鍾成沛","是","中華民國","否","續聘","42","電子期刊","2025","6","0","3945","探討營養在COVID-19後疲勞與COVID-19後急性肌少症患者之角色","其他","713891","否"
"保健營養系","第四(以上)作者","Current Research in Food Science","專任","114","無","鍾成沛","是","荷蘭王國","否","續聘","10","電子期刊","2025","5","0","3945","Extraction of degraded proteins from red and green macroalgae using ultrasonic-assisted extraction and Fenton's reagent in combination","SCIE","713892","是"
"保健營養系","第二作者","Cancer Medicine","專任","114","無","簡暉慈","是","美國","否","續聘","14","電子期刊","2025","4","0","3945","HLA- DQB1*05:02: A Novel Genetic Marker for Susceptibility to Oral Cavity Squamous Cell Carcinoma","SCIE","713881","否"
"健康產業科技研究所","第四(以上)作者","Journal of Dental Sciences","兼任","114","NSTC 112-2320-B-182A-009-MY3","王東弘","是","中華民國","否","續聘","20","電子期刊","2025","10","4","4444","Corylin attenuates oral squamous cell carcinoma progression through c-Myc inhibition","SCIE","713882","是"
"健康產業科技研究所","第一作者","Journal of Dental Sciences","兼任","114","NSTC 112-2320-B-182A-009-MY3","王東弘","是","中華民國","否","續聘","20","電子期刊","2025","7","3","4444","4'-hydroxywogonin inhibits oral squamous cell carcinoma progression by targeting Gas6/Axl signaling axis","SCIE","713883","否"
"健康產業科技研究所","第一作者","Journal of Photochemistry and Photobiology B: Biology","兼任","114","CMRPG3N0512","王東弘","是","瑞士","否","續聘","267","電子期刊","2025","4","1","4444","Mechanistic insights into temoporfin-based photodynamic therapy: Ferroptosis as a critical regulator under normoxic and hypoxic conditions in head and neck cancer","SCIE","713884","否"
"健康產業科技研究所","第四(以上)作者","EMBO Molecular Medicine","兼任","114","無","王東弘","是","德意志聯邦共和國","否","續聘","17","電子期刊","2025","1","1","4444","The role of PM2.5 exposure in lung cancer: mechanisms, genetic factors, and clinical implications","SCIE","713885","是"
"健康產業科技研究所","第四(以上)作者","Archives of Pharmacal Research","兼任","114","109-2320-B-255-001","邱群惠","是","大韓民國(南韓)","是(跨國合作)","新任","0","紙本及電子期刊","2025","7","0","4444","Targeting NF‑κB in diabetic nephropathy: exploring the therapeutic potential of phytoconstituents","SCIE","713886","是"
"健康產業科技研究所","第三作者","Molecular Nutrition & Food Research","兼任","114","無","邱群惠","是","德意志聯邦共和國","否","新任","0","紙本及電子期刊","2025","6","0","4444","The Functional Ability of Stingless Bees (Lepidotrigona) Propolis on Inflammation-Related Disorders","其他","713887","否"
"健康產業科技研究所","第一作者","Journal of Dental Sciences","專任","114","無","陳琦媛","是","中華民國","否","續聘","20","紙本及電子期刊","2025","4","4","4444","Corylin attenuates oral squamous cell carcinoma progression through c-Myc inhibition","SCIE","713875","否"
"健康產業科技研究所","第四(以上)作者","Journal of Dental Sciences","專任","114","無","陳琦媛","是","中華民國","否","續聘","20","紙本及電子期刊","2025","3","3","4444","4'-hydroxywogonin inhibits oral squamous cell carcinoma progression by targeting Gas6/Axl signaling axis","SCIE","713876","是"
"健康產業科技研究所","第一作者","EMBO Molecular Medicine","專任","114","無","陳琦媛","是","德意志聯邦共和國","否","續聘","17","紙本及電子期刊","2025","1","1","4444","The role of PM2.5 exposure in lung cancer: mechanisms, genetic factors, and clinical implications","SCIE","713877","否"
"健康產業科技研究所","第四(以上)作者","Molecular Immunology","專任","114","CMRPF3P0011","黃文忠","是","英國","否","續聘","188","電子期刊","2025","12","0","4444","Neohesperidin ameliorates airway remodeling through suppressed airway inflammation and oxidative stress in ovalbumin-sensitized mice","SCIE","713756","是"
"健康產業科技研究所","第四(以上)作者","Inflammopharmacology","專任","114","CMRPF1N0051","黃文忠","是","荷蘭王國","否","續聘","33","紙本及電子期刊","2025","9","9","4444","Mulberroside A ameliorates murine allergic airway inflammation by suppressing Th2 response and oxidative stress","SCIE","713757","是"
"健康產業科技研究所","第一作者","The Kaohsiung Journal of Medical Sciences","專任","114","CMRPF3P0011","黃文忠","是","中華民國","否","續聘","41","紙本及電子期刊","2025","5","10","4444","Oral Administration of Trichosanthes Kirilowii Fruit Extract Ameliorates Airway Inflammation and Suppresses Th2 Cell Activities in Ovalbumin-Sensitized Mice","SCIE","713758","否"
"健康產業科技研究所","第四(以上)作者","International Immunopharmacology","專任","114","CMRPG5P0021","黃文忠","是","荷蘭王國","否","續聘","146","紙本及電子期刊","2025","1","0","4444","Neochlorogenic acid ameliorates allergic airway inflammation by suppressing type 2 immunity and upregulating HO-1 expression","SCIE","713759","是"
"健康產業科技研究所","第四(以上)作者","International Immunopharmacology","兼任","114","(CMRPG5P0021, CMRPF1M0122, CMRPF1N0081, CMRPF1N0091, and CMRPG3N0572","黃澤宏","是","荷蘭王國","否","續聘","146","電子期刊","2025","1","146","4444","Neochlorogenic acid ameliorates allergic airway inflammation by suppressing type 2 immunity and upregulating HO-1 expression","SCIE","713888","是"
"健康產業科技研究所","第四(以上)作者","Biochemical Pharmacology","專任","114","NSTC 113-2321-B-255-001, 113-2321-B-182-003, 112-2321-B-255-001, 111-2320-B-255-006-MY3, CMRPF1M0101- 2, CMRPF1M0131-2, CMRPF1N0021, CMRPF1J0051-3, CORPF1L0011, CMRPF1L0071, CORPF1P0051-3, CORPF1P0071","黃聰龍","是","美國","否","續聘","242","紙本及電子期刊","2025","12","","4444","Butyrolactone I from Aspergillus fungi blocks neutrophil FPR1 to alleviate acute respiratory distress syndrome","SCI, SCIE","713852","是"
"健康產業科技研究所","第四(以上)作者","Influenza and Other Respiratory Viruses","專任","114","NSTC 113-2321-B-255-001, 113-2321-B-182-003, 112-2321-B-255-001, 111-2320-B-255-006-MY3, ZRRPF3N0101, CMRPF1M0101- 2, CMRPF1M0131-2, CMRPF1N0021","黃聰龍","是","英國","是(跨國合作)","續聘","19","紙本及電子期刊","2025","10","10","4444","Anticoronavirus Isoquinoline Alkaloids: Unraveling the Secrets of Their Structure-Activity Relationship","SCIE","713853","是"
"健康產業科技研究所","第四(以上)作者","Fitoterapia","專任","114","無","黃聰龍","是","荷蘭王國","是(跨國合作)","續聘","185","紙本及電子期刊","2025","9","0","4444","Feature-based molecular networking of two Arenga species extracts, appraisal of their anti-inflammatory, analgesic, and antidiarrheal activity","SCIE","713854","否"
"健康產業科技研究所","第三作者","Expert Opinion on Therapeutic Patents","專任","114","無","黃聰龍","是","英國","否","續聘","35","紙本","2025","8","8","4444","Formyl peptide receptor modulators: a paten review and potential applications for inflammatory diseases (2021–2024)","SCIE","713855","是"
"健康產業科技研究所","第三作者","Phytochemical Analysis","專任","114","無","黃聰龍","是","英國","否","續聘","36","紙本及電子期刊","2025","8","6","4444","Anti-Inflammatory Saponins From an Edible Aquatic Plant Nymphoides hydrophylla","SCI, SCIE","713856","否"
"健康產業科技研究所","第四(以上)作者","Chemical & Pharmaceutical Bulletin","專任","114","無","黃聰龍","是","日本","是(跨國合作)","續聘","73","紙本及電子期刊","2025","7","7","4444","Systematic Review of Natural Briaranes in Marine Organisms (2020-2024): Chemical Structures and Bioactivities","SCIE","713857","否"
"健康產業科技研究所","第三作者","Phytochemical Analysis","專任","114","無","黃聰龍","是","英國","是(跨國合作)","續聘","36","紙本及電子期刊","2025","7","5","4444","New Diterpenoids With Anti-Inflammatory Activity From Callicarpa rubella Collected in Vietnam","SCIE","713858","否"
"健康產業科技研究所","第四(以上)作者","Acs Pharmacology & Translational Science","專任","114","NSTC 111-2320-B-255-006-MY3, 113-2321-B-182-003, and 113-2321-B-255-001, BMRP450, CORPF1P0051-3, CORPF1P0071-3, ZRRPF3P0091 and ZRRPF3M0091","黃聰龍","是","美國","是(跨國合作)","續聘","8","紙本及電子期刊","2025","5","6","4444","Targeting Neutrophil-Mediated Inflammation: Identification of Pyrazolidinone Carboxamide Derivatives as Potent Selective Inhibitors of Formyl Peptide Receptor 1 (FPR1)-Activated Neutrophils","其他","713859","是"
"健康產業科技研究所","第四(以上)作者","PLOS One","專任","114","SCRPF3M0611","黃聰龍","是","美國","否","續聘","20","電子期刊","2025","4","4","4444","Exosomes from human umbilical cord mesenchymal stem cells promote the growth of human hair dermal papilla cells","SCIE","713860","是"
"健康產業科技研究所","第四(以上)作者","Journal of Ethnopharmacology","專任","114","NSTC 111-2320-B-255-006-MY3, 111-2321-B-255-001, 112-2321-B- 255-001, 113-2321-B-255-001, 113-2321-B-182-003 , ZRRPF3P0091, CORPF1P0051~3, CORPF1P0071~3, and BMRP450","黃聰龍","是","愛爾蘭共和國","否","續聘","346","紙本及電子期刊","2025","4","0","4444","Scutellaria barbata ameliorates acute respiratory distress syndrome by inhibiting neutrophil-mediated inflammatory responses","SCI, SCIE","713861","是"
"健康產業科技研究所","第一作者","Molecular Immunology","兼任","114","CMRPF3P0011, CMRPF1M0122, CMRPF1N0091, CMRPG5P0021, ZRRPF3N0091, ZRRPF3Q0091, 112–2320-B-255–008 -MY3, 109–2320-B-255–002 -MY3","鄭淑臻","是","英國","否","續聘","188","紙本及電子期刊","2025","10","0","4444","Neohesperidin ameliorates airway remodeling through suppressed airway inflammation and oxidative stress in ovalbumin-sensitized mice","SCIE","713905","否"
"健康產業科技研究所","第三作者","Inflammopharmacology","兼任","114","CMRPF1N0091, CMRPF1M0122, CMRPF1N0051, CMRPF1L0062, CMRPF3P0011, 112-2320 B-255-008 -MY3, 109-2320-B-255-002-MY3","鄭淑臻","是","荷蘭王國","否","續聘","33","紙本及電子期刊","2025","8","9","4444","Mulberroside A ameliorates murine allergic airway inflammation by suppressing Th2 response and oxidative stress","SCIE","713906","是"
"健康產業科技研究所","第四(以上)作者","The Kaohsiung Journal of Medical Sciences","兼任","114","CMRPF3P0011, CMRPF1P0011, CMRPF1L0062, CMRPF1N0091, ZRRPF3N0101, 112-2320-B-255-008-MY3.","鄭淑臻","是","中華民國","否","續聘","41","紙本及電子期刊","2025","5","10","4444","Oral Administration of Trichosanthes Kirilowii Fruit Extract Ameliorates Airway Inflammation and Suppresses Th2 Cell Activities in Ovalbumin-Sensitized Mice","SCIE","713907","否"
"健康產業科技研究所","第一作者","International Immunopharmacology","兼任","114","CMRPG5P0021, CMRPF1M0122, CMRPF1N0081, CMRPF1N0091, CMRPG3N0572, 112-2320-B-255-008-MY3,109- 2320-B-255-002-MY3","鄭淑臻","是","荷蘭王國","否","續聘","16","電子期刊","2025","1","146","4444","Neochlorogenic acid ameliorates allergic airway inflammation by suppressing type 2 immunity and upregulating HO-1 expression","SCIE","713908","否"
"健康產業科技研究所","第四(以上)作者","Journal of Medical and Biological Engineering","專任","114","無","鄭靜宜","是","中華民國","否","續聘","45","電子期刊","2025","9","5","4444","Effects of Cyclic Stretch on Chondrogenic Differentiation of Rat Adipose-Derived Stem Cells Cultured on Type-I Collagen Coated PDMS Membrane","SCI","713874","否"
"健康產業科技研究所","第一作者","Journal of Cancer","專任","114","NSTC113-2635-B-255-001, CMRPF1N0011, CORPF1P0041, ZMRPF3P0131","謝喜龍","是","澳大利亞","否","續聘","16","電子期刊","2025","10","15","4444","Molecular Mechanisms and Novel Therapeutics Targeting Ferroptosis in Gastric Cancer: A Literature Review","SCIE","713862","否"
"健康產業科技研究所","第四(以上)作者","Biochemical and Biophysical Research Communications","專任","114","無","謝喜龍","是","美國","是(跨國合作)","續聘","742","電子期刊","2025","1","1","4444","Integrin α1 upregulation by TF:FVIIa complex promotes cervical cancer migration through PAR2-dependent MEK1/2 activation.","SCIE","713863","否"
"通識教育中心","第三作者","長庚科技學刊","專任","114","無","王毅新","是","中華民國","否","續聘","42","電子期刊","2025","6","42","1534","四技護理系學生多元入學之學習成效分析","其他","713813","是"
"通識教育中心","第一作者","中國語文","專任","114","無","王潤農","是","中華民國","否","續聘","0","紙本","2025","11","821","1534","新《三國》電視劇對歷史人物的還原與創造——以魯肅為中心的考察","其他","713904","否"
"通識教育中心","第四(以上)作者","運動教練科學","專任","114","無","江勁政","是","中華民國","否","續聘","0","電子期刊","2025","12","76","1534","高強度間歇訓練對生理與心理健康之影響","其他","713838","是"
"通識教育中心","第四(以上)作者","嘉大體育健康休閒期刊","專任","114","無","江勁政","是","中華民國","否","續聘","24","紙本及電子期刊","2025","12","2","1534","青壯年者久坐行為與職場疲勞對健康之影響","其他","713839","是"
"通識教育中心","第一作者","全球知識發展期刊","專任","114","無","江衍良","是","中華民國","否","續聘","3","電子期刊","2025","3","1","1534","從社會學觀點探討西漢皇后的出身與評價","其他","713819","是"
"通識教育中心","第一作者","景文學報","專任","114","無","江衍良","是","中華民國","否","續聘","34","紙本","2025","1","1","1534","儒家經典與西漢皇位傳承之關係","其他","713820","是"
"通識教育中心","第四(以上)作者","學生事務與輔導","專任","114","無","李育齊","是","中華民國","否","續聘","64","紙本","2025","12","3","1534","由生活管理到學習支持: 全體住宿制度下大學住宿輔導之實踐與反思","其他","713933","是"
"通識教育中心","第二作者","服務學習與社會連結學刊","專任","114","無","李育齊","是","中華民國","否","續聘","8","電子期刊","2025","4","0","1534","大學生國際志工參與歷程與成果研究－以泰北華文學校服務為例","其他","713934","否"
"通識教育中心","第一作者","中正歷史學刊","專任","114","國科會計畫112-2635- H-255-001","杜慧卿","是","中華民國","否","續聘","26","紙本及電子期刊","2025","6","26","1534","中唐「舉人自代」制度研究及其影響— 以《權德輿詩文集》為中心","其他","713822","是"
"通識教育中心","第一作者","Current Science","專任","114","無","柯玲瑤","是","印度共和國","否","續聘","5","電子期刊","2025","5","3","1534","Evaluating the Effectiveness and Skill Correlation of ESP-Based Childcare English Materials on Taiwanese Learners' Four Language Skills","SCIE","713828","是"
"通識教育中心","第一作者","Current Science","專任","114","無","柯玲瑤","是","印度共和國","否","續聘","5","電子期刊","2025","5","3","1534","A Needs Analysis of Childcare Learners for an ESP Curriculum: A Case Study from Taiwan","SCIE","713829","是"
"通識教育中心","第一作者","當代通識","專任","114","無","洪如薇","是","中華民國","否","續聘","0","紙本及電子期刊","2025","6","7","1534","永續議題融入口語表達訓練之教學研究：以跨域微學分課程「說話練習」為例","其他","713837","否"
"通識教育中心","第二作者","當代通識","專任","114","無","翁慧娟","是","中華民國","否","續聘","0","電子期刊","2025","6","7","1534","永續議題融入口語表達訓練之教學研究：以跨域微學分課程「說話練習」為例","其他","713836","是"
"通識教育中心","第一作者","全球知識發展期刊","專任","114","無","張雅君","是","中華民國","否","續聘","3","紙本","2025","3","1","1534","以文獻分析法探討科技輔助對心理健康與社會支持系統之影響","其他","713823","否"
"通識教育中心","第四(以上)作者","臺灣羽球運動學刊","專任","114","無","莊國上","是","中華民國","否","續聘","","紙本","2025","12","","1534","以 ARCS 動機理論導向之羽球戰術應用教學對學習成效之研究","其他","713841","是"
"通識教育中心","第二作者","體育運動健康學刊","專任","114","無","莊國上","是","中華民國","否","續聘","0","紙本","2025","4","","1534","追夢-台灣運動菁英舞蹈選手邁向黑池舞蹈節成功之路","其他","713842","否"
"通識教育中心","第二作者","Health Education Journal","專任","114","無","許美華","是","英國","否","續聘","0","電子期刊","2025","11","0","1534","MEDILEGACY: A gamified platform for enhancing medical terminology learning through engagement and retention","SSCI","713830","是"
"通識教育中心","第二作者","Digital Health","專任","114","無","許美華","是","英國","否","續聘","11","電子期刊","2025","11","0","1534","HealthLINE: A messaging chatbot for supporting chronic disease self-management","SSCI","713831","是"
"通識教育中心","第二作者","Health Education & Behavior","專任","114","無","許美華","是","美國","否","續聘","0","電子期刊","2025","7","0","1534","Interactive SBOT for Health Education and Active Living","SSCI","713832","是"
"通識教育中心","第二作者","Archives of Dermatological Research","專任","114","無","許美華","是","德意志聯邦共和國","否","續聘","317","電子期刊","2025","2","0","1534","Comparative analysis of automatic hair count estimation methods","SCIE","713833","是"
"通識教育中心","第二作者","Educational Technology Research and Development","專任","114","無","許美華","是","美國","否","續聘","73","電子期刊","2025","2","0","1534","Enhancing phonetic accuracy through chatbot‑assisted language learning","SSCI","713834","是"
"通識教育中心","第二作者","Health Education Journal","專任","114","無","許美華","是","英國","否","續聘","0","電子期刊","2025","2","0","1534","Gamified mobile learning An escape room chatbot to enhance medical terminology acquisition","SSCI","713835","是"
"通識教育中心","第一作者","人文社會科學研究","兼任","114","無","馮典章","是","中華民國","否","續聘","","紙本及電子期刊","2025","3","","1534","襲聖承矩：宋孝武帝創業集團及其政權正當性的建構","其他","713880","否"
"通識教育中心","第一作者","靜宜體育","專任","114","無","黃怡仁","是","中華民國","否","續聘","0","紙本及電子期刊","2025","7","15","1534","教學從康德的道德哲學反思運動裁判的角色","其他","713843","否"
"通識教育中心","第三作者","休閒研究","專任","114","無","鄭宜仲","是","中華民國","否","續聘","15","電子期刊","2025","12","2","1534","傳統療法與西醫對健康問題解決評價之研究","其他","713821","是"
"通識教育中心","第一作者","臺灣教育評論月刊","專任","114","無","藍茜茹","是","中華民國","否","續聘","14","紙本及電子期刊","2025","12","12","1534","以AI輔助理解與溝通技巧於通識課程提升大學生與父母溝通能力之教學實踐行動研究","其他","713824","是"
"通識教育中心","第一作者","臺灣教育評論月刊","專任","114","無","藍茜茹","是","中華民國","否","續聘","14","電子期刊","2025","8","8","1534","華人家庭的教育期待與新課綱下台灣學子的升學壓力 與補習風氣盛行之探討","其他","713825","是"
"通識教育中心","第一作者","當代通識","專任","114","無","藍茜茹","是","中華民國","否","續聘","0","紙本及電子期刊","2025","6","7","1534","專題導向學習在通識心理學課程實踐關懷力之教學成效初探 —以心理學關懷力報告之實施為例","其他","713826","是"
"通識教育中心","第二作者","長庚科技學刊","專任","114","無","藍茜茹","是","中華民國","否","續聘","0","紙本及電子期刊","2025","6","42","1534","與思覺失調症的距離—電影《瀑布》之分析","其他","713827","是"
"高齡暨健康照護管理系","第二作者","護理雜誌","專任","113","無","石惠美","是","中華民國","否","續聘","71","紙本及電子期刊","2024","12","6","4641","探討影響臺灣國際醫療病人忠誠度之相關因素","其他","700451","是"
"高齡暨健康照護管理系","第二作者","長庚科技學刊","專任","113","無","石惠美","是","中華民國","否","續聘","41","紙本及電子期刊","2024","12","0","4641","探討病房區專科護理師職場疲勞與幸福感之相關性—以新竹區域醫院為例","其他","700452","是"
"高齡暨健康照護管理系","第二作者","彰化護理","專任","113","無","石惠美","是","中華民國","否","續聘","31","紙本及電子期刊","2024","3","1","4641","長照機構護理人員職場疲勞對老人態度、照顧意願及其相關因素之探討","其他","700453","是"
"高齡暨健康照護管理系","第四(以上)作者","中原體育學報","專任","113","無","江勁政","是","中華民國","否","續聘","0","電子期刊","2024","12","23","4641","伸展運動對醫院護理主管肌肉骨骼痠痛之改善成效","其他","700521","是"
"高齡暨健康照護管理系","第四(以上)作者","長庚科技學刊","專任","113","無","江勁政","是","中華民國","否","續聘","0","電子期刊","2024","6","40","4641","以早期篩檢與運動因應肌少症對高齡者的威脅","其他","700522","是"
"高齡暨健康照護管理系","第四(以上)作者","BMC Nursing","專任","113","科技部(MOST 107–2511-H-255–008)","江貞紅","是","英國","否","續聘","23","電子期刊","2024","7","484","4641","Team interaction behaviors correlates with team creativity among nursing students: Canonical correlation and moderation analyses","SCIE","700408","是"
"高齡暨健康照護管理系","第二作者","台灣性學學刊","專任","113","無","宋素卿","是","中華民國","否","續聘","","紙本及電子期刊","2024","12","0","4641","護理人員性健康照護自我效能相關因素之探討","其他","700471","是"
"高齡暨健康照護管理系","第三作者","學生社團學刊","專任","113","無","宋素卿","是","中華民國","否","續聘","","紙本及電子期刊","2024","1","12","4641","探討社團參與、學業表現、課外學習核心能力與學校生活適應的關係","其他","700472","否"
"高齡暨健康照護管理系","第一作者","福祉科技與服務管理學刊","專任","113","無","車慧蓮","是","中華民國","否","續聘","12","電子期刊","2024","12","2","4641","防止跌落之病床輔具設計","其他","700410","是"
"高齡暨健康照護管理系","第三作者","Journal of the Formosan Medical Association","專任","113","NSC97-2511-S-255-002","車慧蓮","是","中華民國","否","續聘","0","紙本及電子期刊","2024","7","123","4641","Level of Empowerment of Hospitalized Patient in Taiwan Clinical Practice","SCIE","700411","是"
"高齡暨健康照護管理系","第一作者","Sustainability","專任","113","無","侯佳惠","是","瑞士","否","續聘","16","紙本及電子期刊","2024","10","20","4641","Sustainable and Collaborative Health Promotion in Urban Communities: Practical Implementation and Outcomes Based on Community Capital","SCI, SSCI","700594","是"
"高齡暨健康照護管理系","第一作者","International Journal of Mental Health Promotion","專任","113","無","侯佳惠","是","美國","否","續聘","26","紙本及電子期刊","2024","9","8","4641","Optimism, Social Support, and Caregiving Burden among the Long-Term Caregivers: The Mediating Effect of Psychological Resilience","SSCI","700595","是"
"高齡暨健康照護管理系","第四(以上)作者","Nursing & Health Sciences","專任","113","MOST 109-2314- B- 255- 001).","徐秀琹","是","日本","否","續聘","26","電子期刊","2024","12","4","4641","Smartphone Application Intervention on Obstructive Sleep Apnea Among Overweight and Obese High-Tech Employees: A Randomized Controlled Trial","SSCI","700457","是"
"高齡暨健康照護管理系","第三作者","長庚科技學刊","專任","113","無","張淑紅","是","中華民國","否","續聘","","紙本及電子期刊","2024","6","40","4641","冠狀病毒流行期間健康促進介入方案對傳統產業員工身體活動量、減少肌肉骨骼傷害之成效","其他","700373","是"
"高齡暨健康照護管理系","第一作者","Brain Pathology","兼任","113","無","陳建成","是","瑞士","否","續聘","34","電子期刊","2024","9","5","4641","Transient receptor potential vanilloid 1 inhibition reduces brain damage by suppressing neuronal apoptosis after intracerebral hemorrhage","SCIE","700557","否"
"高齡暨健康照護管理系","第四(以上)作者","長庚科技學刊","專任","113","106-2511-S-255-002-MY3","黃惠玲","是","中華民國","否","續聘","0","電子期刊","2024","12","41","4641","榮家照顧服務員失智症照護能力及影響因素之探討","其他","700488","是"
"高齡暨健康照護管理系","第四(以上)作者","Public Health Nursing","專任","113","CMRPF3G0063","黃惠玲","是","美國","否","續聘","42","紙本及電子期刊","2024","12","2","4641","Effectiveness of Neighborhood Care Volunteer Training Programs: A Mixed-Methods Study","SSCI, SCIE","700489","是"
"高齡暨健康照護管理系","第一作者","JMIR Aging","專任","113","109-2511-H-255-004; ZRRPF3K0071","黃惠玲","是","加拿大","否","續聘","7","電子期刊","2024","9","Nil.","4641","Development of a Dementia Case Management Information System App: Mixed methods study.","其他","700490","是"
"高齡暨健康照護管理系","第一作者","BMC Geriatrics","專任","113","109-2511-H-255-004","黃惠玲","是","英國","否","續聘","24","電子期刊","2024","8","1","4641","Caregiving management needs and predictors for family caregivers of persons with dementia: A cross-sectional study","SCIE","700491","是"
"高齡暨健康照護管理系","第一作者","Archives of Psychiatric Nursing","專任","113","MOST 103-2314-B-255 -007","黃惠玲","是","美國","否","續聘","50","紙本及電子期刊","2024","6","Nil.","4641","Effectiveness of a health education program for people with dementia and their family caregivers: An intervention by nurse practitioners.","SCI, SSCI","700492","是"
